X1,Y1,X2,Y2,X3,Y3,X4,Y4,X5,Y5,X6,Y6,X7,Y7,X8,Y8,X9,Y9,X10,Y10,X11,Y11,X12,Y12,X13,Y13,X14,Y14,X15,Y15,X16,Y16
0.61,0,0.61,0,0.61,0,0.61,0,0.61,2004,0.61,2012,0.61,2031,0.61,1988,0.61,0,0.61,0,0.61,0,0.61,0,0.61,2001,0.61,2001,0.61,2001,0.61,2001
0.62,0,0.62,0,0.62,0,0.62,0,0.62,2026,0.62,1926,0.62,1995,0.62,2011,0.62,0,0.62,0,0.62,0,0.62,0,0.62,2001,0.62,2001,0.62,2001,0.62,2001
0.63,0,0.63,0,0.63,0,0.63,0,0.63,1981,0.63,1998,0.63,2030,0.63,1970,0.63,0,0.63,0,0.63,0,0.63,0,0.63,2001,0.63,2001,0.63,2001,0.63,2001
0.64,0,0.64,0,0.64,0,0.64,0,0.64,2030,0.64,2008,0.64,2028,0.64,1975,0.64,0,0.64,0,0.64,0,0.64,0,0.64,2001,0.64,2001,0.64,2001,0.64,2001
0.65,0,0.65,0,0.65,0,0.65,0,0.65,1997,0.65,1999,0.65,2001,0.65,1974,0.65,0,0.65,0,0.65,0,0.65,0,0.65,2001,0.65,2001,0.65,2001,0.65,2001
0.66,0,0.66,0,0.66,0,0.66,0,0.66,2025,0.66,1999,0.66,2030,0.66,2068,0.66,0,0.66,0,0.66,0,0.66,0,0.66,2001,0.66,2001,0.66,2001,0.66,2001
0.67,0,0.67,0,0.67,0,0.67,0,0.67,1996,0.67,1985,0.67,2072,0.67,2120,0.67,0,0.67,0,0.67,0,0.67,0,0.67,2001,0.67,2001,0.67,2001,0.67,2001
0.68,0,0.68,0,0.68,0,0.68,0,0.68,1993,0.68,1976,0.68,1993,0.68,1962,0.68,0,0.68,0,0.68,0,0.68,0,0.68,2001,0.68,2001,0.68,2001,0.68,2001
0.69,0,0.69,0,0.69,0,0.69,0,0.69,1991,0.69,1988,0.69,2066,0.69,1992,0.69,0,0.69,0,0.69,0,0.69,0,0.69,2001,0.69,2001,0.69,2001,0.69,2001
0.7,0,0.7,0,0.7,0,0.7,0,0.7,1995,0.7,2124,0.7,1994,0.7,1987,0.7,0,0.7,0,0.7,0,0.7,0,0.7,2001,0.7,2001,0.7,2001,0.7,2001
0.71,0,0.71,0,0.71,0,0.71,0,0.71,1986,0.71,1986,0.71,1973,0.71,2007,0.71,0,0.71,0,0.71,0,0.71,0,0.71,2001,0.71,2001,0.71,2001,0.71,2001
0.72,0,0.72,0,0.72,0,0.72,0,0.72,2008,0.72,2007,0.72,2004,0.72,1993,0.72,0,0.72,0,0.72,0,0.72,0,0.72,2001,0.72,2001,0.72,2001,0.72,2001
0.73,0,0.73,0,0.73,0,0.73,0,0.73,1990,0.73,2033,0.73,2134,0.73,1979,0.73,0,0.73,0,0.73,0,0.73,0,0.73,2001,0.73,2001,0.73,2001,0.73,2001
0.74,0,0.74,0,0.74,0,0.74,0,0.74,2007,0.74,1993,0.74,1989,0.74,2012,0.74,0,0.74,0,0.74,0,0.74,0,0.74,2001,0.74,2001,0.74,2001,0.74,2001
0.75,0,0.75,0,0.75,0,0.75,0,0.75,1987,0.75,2004,0.75,1995,0.75,2021,0.75,0,0.75,0,0.75,0,0.75,0,0.75,2001,0.75,2001,0.75,2001,0.75,2001
0.76,0,0.76,0,0.76,0,0.76,0,0.76,1994,0.76,2055,0.76,1997,0.76,1989,0.76,0,0.76,0,0.76,0,0.76,0,0.76,2001,0.76,2001,0.76,2001,0.76,2001
0.77,0,0.77,0,0.77,0,0.77,0,0.77,2011,0.77,2064,0.77,1991,0.77,2055,0.77,0,0.77,0,0.77,0,0.77,0,0.77,2001,0.77,2001,0.77,2001,0.77,2001
0.78,0,0.78,0,0.78,0,0.78,0,0.78,2008,0.78,1995,0.78,2002,0.78,1917,0.78,0,0.78,0,0.78,0,0.78,0,0.78,2001,0.78,2001,0.78,2001,0.78,2001
0.79,0,0.79,0,0.79,0,0.79,0,0.79,1985,0.79,1954,0.79,2043,0.79,1982,0.79,0,0.79,0,0.79,0,0.79,0,0.79,2001,0.79,2001,0.79,2001,0.79,2001
0.8,0,0.8,0,0.8,0,0.8,0,0.8,2015,0.8,1990,0.8,1974,0.8,2028,0.8,0,0.8,0,0.8,0,0.8,0,0.8,2001,0.8,2001,0.8,2001,0.8,2001
0.81,0,0.81,0,0.81,0,0.81,0,0.81,2015,0.81,2100,0.81,2004,0.81,1996,0.81,0,0.81,0,0.81,0,0.81,0,0.81,2001,0.81,2001,0.81,2001,0.81,2001
0.82,0,0.82,0,0.82,0,0.82,0,0.82,1990,0.82,2005,0.82,2108,0.82,1978,0.82,0,0.82,0,0.82,0,0.82,0,0.82,2001,0.82,2001,0.82,2001,0.82,2001
0.83,0,0.83,0,0.83,0,0.83,0,0.83,2009,0.83,1998,0.83,1989,0.83,1996,0.83,0,0.83,0,0.83,0,0.83,0,0.83,2001,0.83,2001,0.83,2001,0.83,2001
0.84,0,0.84,0,0.84,0,0.84,0,0.84,2032,0.84,2006,0.84,2010,0.84,2004,0.84,0,0.84,0,0.84,0,0.84,0,0.84,2001,0.84,2001,0.84,2001,0.84,2001
0.85,0,0.85,0,0.85,0,0.85,0,0.85,1979,0.85,1998,0.85,2010,0.85,1978,0.85,0,0.85,0,0.85,0,0.85,0,0.85,2001,0.85,2001,0.85,2001,0.85,2001
0.86,0,0.86,0,0.86,0,0.86,0,0.86,2006,0.86,1966,0.86,2000,0.86,2009,0.86,0,0.86,0,0.86,0,0.86,0,0.86,2001,0.86,2001,0.86,2001,0.86,2001
0.87,0,0.87,0,0.87,0,0.87,0,0.87,1995,0.87,2026,0.87,2157,0.87,1996,0.87,0,0.87,0,0.87,0,0.87,0,0.87,2001,0.87,2001,0.87,2001,0.87,2001
0.88,0,0.88,0,0.88,0,0.88,0,0.88,1970,0.88,1994,0.88,1998,0.88,1992,0.88,0,0.88,0,0.88,0,0.88,0,0.88,2001,0.88,2001,0.88,2001,0.88,2001
0.89,0,0.89,0,0.89,0,0.89,0,0.89,2053,0.89,1948,0.89,2015,0.89,2016,0.89,0,0.89,0,0.89,0,0.89,0,0.89,2001,0.89,2001,0.89,2001,0.89,2001
0.9,0,0.9,0,0.9,0,0.9,0,0.9,1966,0.9,2002,0.9,1987,0.9,1983,0.9,0,0.9,0,0.9,0,0.9,0,0.9,2001,0.9,2001,0.9,2001,0.9,2001
