X1;Y6;Y8;Y16
3,9;1987;2008;2001
3,91;1997;2023;2001
3,92;1996;1999;2001
3,93;1985;1962;2001
3,94;1998;2084;2001
3,95;2025;2254;2001
3,96;1979;1965;2001
3,97;2012;1950;2001
3,98;2003;2033;2001
3,99;2178;1996;2001
4;2028;1962;2001
4,01;1992;1997;2001
4,02;1994;1976;2001
4,03;1994;2027;2001
4,04;1989;1990;2001
4,05;1980;2102;2001
4,06;2005;1984;2001
4,07;2004;2052;2001
4,08;2021;1993;2001
4,09;1999;2006;2001
4,1;2004;2002;2001
4,11;1989;1952;2001
4,12;1960;2000;2001
4,13;1997;2002;2001
4,14;2036;1988;2001
4,15;1965;1989;2001
4,16;2030;1985;2001
4,17;2008;1971;
4,18;2038;1978;
4,19;2021;2061;
4,2;2011;2163;
4,21;2016;2139;
4,22;1988;2604;
4,23;1975;2889;
4,24;1975;3455;
4,25;1993;3487;
4,26;1934;3574;
4,27;1994;4492;
4,28;1995;5435;
4,29;1984;6891;
4,3;2001;8348;
4,31;2003;9064;
4,32;1982;9599;
4,33;2003;10145;
4,34;1991;10359;
4,35;2022;10598;
4,36;1993;7927;
4,37;2010;5718;2001
4,38;1996;5048;2001
4,39;1993;4252;2001
4,4;2023;3808;2001
4,41;1962;3570;2001
4,42;1982;3329;2001
4,43;1994;3280;2001
4,44;1987;3011;2001
4,45;2001;2846;2001
4,46;1998;2782;2001
4,47;2004;2722;2001
4,48;1967;2611;2001
4,49;2010;2723;2001
4,5;1990;2474;2001
4,51;1992;2372;2001
4,52;2033;2369;2001
4,53;1984;2312;2001
4,54;1974;2269;2001
4,55;1985;2215;2001
4,56;1994;2213;2001
4,57;1986;2174;2001
4,58;1996;2157;2001
4,59;1986;2143;2001
4,6;1983;2151;2001
4,61;2004;2084;2001
4,62;2003;2087;2001
4,63;1996;2123;2001
4,64;1985;2093;2001
4,65;2053;2045;2001
4,66;1996;2060;2001
4,67;2026;2047;2001
4,68;1980;2032;2001
4,69;1988;1988;2001
4,7;1995;2012;2001
4,71;1990;2022;2001
4,72;2034;1998;2001
4,73;2001;1996;2001
4,74;1990;2012;2001
4,75;2046;2006;2001
4,76;2005;2011;2001
4,77;1956;2029;2001
4,78;1993;2000;2001
4,79;1995;1999;2001
4,8;1984;1990;2001
4,81;2018;2000;2001
4,82;1985;1997;2001
4,83;1989;1994;2001
4,84;1976;2029;2001
4,85;1985;1991;2001
4,86;1978;1988;2001
4,87;1982;1999;2001
4,88;2040;1970;2001
4,89;1995;1992;2001
4,9;1998;2094;2001
4,91;2009;1988;2001
4,92;2018;2015;2001
4,93;1950;2008;2001
4,94;1984;1961;2001
4,95;1994;1998;2001
4,96;2006;2002;2001
4,97;1996;2033;2001
4,98;2017;1981;2001
4,99;1971;1982;2001
5;1992;1989;2001
5,01;1992;1979;2001
5,02;2002;2012;2001
5,03;2011;1992;2001
5,04;2023;1976;2001
5,05;1982;2048;2001
5,06;1985;1972;2001
5,07;1997;1976;2001
5,08;1989;1998;2001
5,09;2056;1989;2001
5,1;2019;2001;2001
5,11;1989;2071;2001
5,12;1991;1976;2001
5,13;2008;2005;2001
5,14;1993;2008;2001
5,15;2025;1986;2001
5,16;2015;1991;2001
5,17;1986;2036;2001
5,18;1991;1985;2001
5,19;1960;2007;2001
5,2;1986;2119;2001
5,21;2033;1994;2001
5,22;2012;1985;2001
5,23;2319;2001;2001
5,24;2635;2002;2001
5,25;3108;1998;2001
5,26;3826;2033;2001
5,27;4590;2003;2001
5,28;6594;1987;2001
5,29;9775;1918;2001
5,3;11864;1966;2001
5,31;13352;1946;2001
5,32;14108;1973;2001
5,33;12008;1965;2001
5,34;9789;1982;2001
5,35;6230;2068;2001
5,36;4831;2008;2001
5,37;4403;1998;2001
5,38;4096;2005;2001
5,39;3812;2005;2001
5,4;3597;2002;2001
5,41;3342;1992;2001
5,42;3176;2012;2001
5,43;2976;2090;2001
5,44;3161;2006;2001
5,45;2944;2015;2001
5,46;2732;1987;2001
5,47;2583;1985;2001
5,48;2512;1984;2001
5,49;2479;1997;2001
5,5;2418;2027;2001
5,51;2370;2019;2001
5,52;2270;1980;2001
5,53;2266;1945;2001
5,54;2228;1985;2001
5,55;2144;1994;2001
5,56;2203;1998;2001
5,57;2097;1989;2001
5,58;2083;1982;2001
5,59;2081;2026;2001
5,6;2112;2007;2001
5,61;2056;2005;2001
5,62;2030;2004;2001
5,63;2001;1986;2001
5,64;2000;1997;2001
5,65;2005;2040;2001
5,66;1994;2059;2001
5,67;2027;1991;2001
5,68;2010;2022;2001
5,69;1988;2085;2001
5,7;2044;1986;2001
5,71;1993;1937;2001
5,72;1948;1996;2001
5,73;2007;2046;2001
5,74;1994;1999;2001
5,75;1983;2007;2001
5,76;1967;1995;2001
5,77;2001;1998;2001
5,78;1998;2017;2001
5,79;2001;2008;2001
5,8;2000;1947;2001
5,81;2004;2028;2001
5,82;1985;1974;2001
5,83;1997;1985;2001
5,84;1985;2012;2001
5,85;2014;2017;2001
5,86;1951;2006;2001
5,87;1978;2012;2001
5,88;1998;1976;2001
5,89;2006;1993;2001
5,9;1990;1968;2001
5,91;1995;2034;2001
5,92;2000;2000;2001
5,93;2108;1983;2001
5,94;2006;2022;2001
5,95;1991;1965;2001
5,96;2028;2034;2001
5,97;1994;1991;2001
5,98;2010;1980;2001
5,99;2003;2015;2001
6;2014;1998;2001
6,01;1999;1986;2001
6,02;1988;2003;2001
6,03;2009;2005;2001
6,04;2023;1987;2001
6,05;2028;2006;2001
6,06;1984;2053;2001
6,07;2001;1996;2001
6,08;1986;2019;2001
6,09;1992;2029;2001
6,1;1974;1938;2001
6,11;1977;1971;2001
6,12;2015;1963;2001
6,13;1972;1998;2001
6,14;1950;2015;2001
6,15;2063;1967;2001
6,16;2044;1998;2001
6,17;1965;2006;2001
6,18;1984;2017;2001
6,19;1994;1990;2001
6,2;2014;2027;2001
6,21;2017;1986;2001
6,22;1986;1956;2001
6,23;1988;1994;2001
6,24;2063;2023;2001
6,25;2004;1967;2001
6,26;1987;2012;2001
6,27;1999;1964;2001
6,28;1995;1973;2001
6,29;1991;1973;2001
6,3;1994;1991;2001
6,31;1994;2056;2001
6,32;1936;1999;2001
6,33;2032;2008;2001
6,34;1992;1989;2001
6,35;1999;1994;2001
6,36;1976;2136;2001
6,37;2027;1975;2001
6,38;2050;2019;2001
6,39;2003;2024;2001
6,4;2013;1994;2001
6,41;1988;1995;2001
6,42;2046;1995;2001
6,43;2024;2176;2001
6,44;1990;1964;2001
6,45;1988;1974;2001
6,46;2018;1976;2001
6,47;1987;1981;2001
6,48;1997;2025;2001
6,49;2045;1996;2001
6,5;1986;1958;2001
6,51;1989;1995;2001
6,52;2003;2012;2001
6,53;1993;1992;2001
6,54;2000;1964;2001
6,55;2029;1981;2001
6,56;1993;1982;2001
6,57;1999;2008;2001
6,58;2013;1982;2001
6,59;2054;1984;2001
6,6;1984;2022;2001
6,61;2022;2014;2001
6,62;1965;2023;2001
6,63;1977;1990;2001
6,64;1995;1891;2001
6,65;1977;1986;2001
6,66;1966;2004;2001
6,67;2008;1990;2001
6,68;2009;1969;2001
6,69;1995;1974;2001
6,7;2025;1975;2001
6,71;1972;2048;2001
6,72;2009;2016;2001
6,73;2017;1990;2001
6,74;2005;2046;2001
6,75;1994;2002;2001
